sanskrit,english,q_en_1,q_en_2,q_en_3,q_en_4,a_en_1,a_en_2,a_en_3,a_en_4,q_hi_1,q_hi_2,q_hi_3,q_hi_4,a_hi_1,a_hi_2,a_hi_3,a_hi_4,q_sa_1,q_sa_2,q_sa_3,q_sa_4,a_sa_1,a_sa_2,a_sa_3,a_sa_4,tags
अथातो दीर्घञ्जीवितीयमध्यायं व्याख्यास्यामः ||१||,Now (I) shall expound the chapter on longevity. [1],Who declares the intention to expound a chapter on longevity?,What is the main topic of the chapter that will be expounded?,How is the upcoming discussion described by the speaker?,Which aspect of human life is the focus of the forthcoming exposition?,"The speaker, referring to themselves, declares that they will expound the chapter on longevity.",The main topic is longevity.,It is described as an expounding of the chapter on longevity.,The focus is on extending or understanding long life (longevity).,कौन यह घोषणा करता है कि वह दीर्घायु के अध्याय की व्याख्या करेगा?,दीर्घायु के अध्याय में मुख्य रूप से किस विषय पर बात की जाएगी?,वक्ता आगामी चर्चा को कैसे व्यक्त करता है?,इस आगामी व्याख्यान का केंद्र कौन सा पहलू है?,"वक्ता, अपने आप को संदर्भित करते हुए, यह घोषणा करता है कि वह दीर्घायु के अध्याय की व्याख्या करेगा।",मुख्य विषय दीर्घायु अर्थात लंबी आयु है।,वह इसे दीर्घायु के अध्याय की व्याख्या के रूप में प्रस्तुत करता है।,"यह केंद्र दीर्घायु, अर्थात् दीर्घ जीवन पर है।",कोऽस्मिन्काले दीर्घायुशाखायाः व्याख्यानं कर्तुं इत्युच्यते?,दीर्घायुशाखायाः मुख्यविषयः कः?,आगामिनि व्याख्यायां वक्ता कथं वर्णयति?,अस्य व्याख्यानस्य केन्द्रम् कतम् अभिप्रेतम्?,"स्वयम् इति सूच्यते, यः इदानीं दीर्घायुशाखायाः व्याख्यानं करिष्यति।","मुख्यविषयः दीर्घायु, अर्थात् दीर्घजीवनम्।",सः इदं दीर्घायुशाखायाः व्याख्यानं इति कथयति।,"केन्द्रम् दीर्घायु, दीर्घजीवनस्य विवेचनम्।",
इति ह स्माह भगवानात्रेयः ||२||,As propounded by Lord Atreya. [2],Who is identified as the originator of the teaching?,What verb describes Lord Atreya's action regarding the teaching?,How is the authority of the teaching established in the statement?,What does the phrase imply about the relationship between the content and Lord Atreya?,Lord Atreya is identified as the originator of the teaching.,"He is said to have ""propounded"" it, meaning he presented or declared it.",The authority is established by attributing the teaching to Lord Atreya.,It implies that the content is directly linked to and comes from Lord Atreya.,इस शिक्षण के मूलकर्ता के रूप में कौन बताया गया है?,भगवानात्रेय की इस शिक्षण के संबंध में किस क्रिया का प्रयोग किया गया है?,इस कथन में शिक्षण की प्रामाणिकता कैसे स्थापित की गई है?,यह वाक्यांश शिक्षण और भगवानात्रेय के बीच किस प्रकार का संबंध दर्शाता है?,भगवानात्रेय को मूलकर्ता बताया गया है।,"उनके द्वारा इसे ""प्रसारित"" किया गया है, अर्थात् उन्होंने इसे प्रस्तुत किया।",इसे भगवानात्रेय के नाम से जोड़कर प्रामाणिकता स्थापित की गई है।,यह दर्शाता है कि वह शिक्षण सीधे भगवानात्रेय से आया है।,एतस्य शिक्षायाः मूलकर्ता कः निर्दिष्टः?,भगवानात्रेयः कस्य क्रिया द्वारा शिक्षां प्रस्तुतवान्?,शिक्षायाः अधिकारम् कथम् अभिव्यक्तम्?,एषः वाक्यांशः शिक्षां च भगवानात्रेयं च केन प्रकारेण सम्बद्धयति?,भगवानात्रेयः मूलकर्ता इति निर्दिष्टः।,"सः तां ""प्रसारित"" इति शब्देन प्रस्तुतवान्।",तस्य अधिकारः भगवानात्रेयस्य नाम्ना अभिव्यक्तः।,एतत् दर्शयति यत् शिक्षां प्रत्यक्षं भगवानात्रेयस्योत्पन्नम्।,
दीर्घञ्जीवितमन्विच्छन्भरद्वाज उपागमत्‌ । इन्द्रमुग्रतपा बुद्ध्वा शरण्यममरेश्चरम्‌ ।।३।।,"Bhardwaja, a great ascetic, went to Indra, the god of gods and the saviour in quest of longevity. [3]",Who is Bhardwaja described as in the context of seeking longevity?,What was Bhardwaja's purpose in approaching Indra?,How is Indra characterized in relation to Bhardwaja's quest?,What specific boon does Bhardwaja request from Indra?,Bhardwaja is a great ascetic who seeks longevity.,He approached Indra to request the grant of a long life.,Indra is portrayed as the supreme deity and saviour whom Bhardwaja turns to for help.,"He asks Indra for longevity, i.e., a long life.",भर्द्वज कौन हैं और वह किस गुण के लिये जाने जाते हैं?,भर्द्वज ने इन्द्र के पास क्या माँग की?,इन्द्र को किस प्रकार के देवता के रूप में वर्णित किया गया है?,भर्द्वज ने इन्द्र के पास जाने का कारण क्या था?,भर्द्वज एक महान संन्यासी हैं जो दीर्घायु की इच्छा रखते हैं।,उन्होंने इन्द्र से दीर्घायु प्राप्त करने की इच्छा व्यक्त की।,इन्द्र को देवताओं के प्रमुख और रक्षक के रूप में दर्शाया गया है।,उनका मुख्य कारण दीर्घायु प्राप्त करने की खोज थी।,भर्द्वजः कः वर्णितः दीर्घायुष्याय खोजे?,भर्द्वजः इन्द्रं किमर्थं समागमति?,इन्द्रस्य कः गुणः उल्लेखितः अस्ति?,भर्द्वजस्य इन्द्रं प्रति मुख्य अभिलाषा किम्?,भर्द्वजः महान् वैराग्यवन्तः संन्यासी अस्ति।,सः दीर्घायुष्यम् प्राप्तुं इन्द्रस्य कृपां याचति।,इन्द्रः देवतासु मुख्यः तथा रक्षकः इति परिगणितः।,भर्द्वजस्य मुख्य अभिलाषा दीर्घायुष्यम् (दीर्घायु) अस्ति।,
ब्राह्मणा हि यथाप्रोक्तमायुर्वेदं प्रजापतिः । जग्राह निखिलेनादावश्चिनौ तु पुनस्ततः ।।४।। अश्चिभ्यां भगवाञ्छक्रः प्रतिपेदे ह केवलम्‌ । ऋषिप्रोक्तो भरद्राजस्तस्माच्छक्रमुपागमत्‌ ।। ५।।,"At first, Prajapati received Ayurveda in its entirety as propounded by Brahma, therefrom ASwins (received), from ASswins lord Indra received it fully, that is why Bharadwaja, as requested by the sages, Went to Indra. [4-5]",Who initially received the complete knowledge of Ayurveda as taught by Brahma?,Which divine physicians received Ayurveda from Prajapati?,Who obtained the full Ayurveda after the Aswins?,Which sage went to Indra after the sages requested it?,Prajapati received the complete knowledge of Ayurveda as taught by Brahma.,The Aswins received Ayurveda from Prajapati.,Lord Indra obtained the full Ayurveda after the Aswins.,Bharadwaja went to Indra after the sages requested it.,आयुर्वेद को ब्रह्मा द्वारा स्थापित रूप में पहले किसने प्राप्त किया?,प्रजापति से आयुर्वेद किसने प्राप्त किया?,अस्विनों से आयुर्वेद पूर्ण रूप में किसके पास पहुँचा?,ऋषियों के अनुरोध पर कौन इन्द्र के पास गया?,पृथ्वी पर प्रथम बार आयुर्वेद को ब्रह्मा द्वारा स्थापित रूप में प्रजापति ने प्राप्त किया।,अस्विनों ने प्रजापति से आयुर्वेद प्राप्त किया।,अस्विनों से आयुर्वेद पूर्ण रूप में इन्द्र के पास पहुँचा।,ऋषियों के अनुरोध पर भरद्रज ने इन्द्र के पास गया।,आयुर्वेदं सम्पूर्णम् प्रथमम् कः प्राप्तवान्?,प्रजापतः कः आयुर्वेदं ग्रहीत्?,अस्विनयोः परं आयुर्वेदं कस्य प्राप्तम्?,ऋषिणां विनतीनुसारं कः इन्द्रं अतीतः?,प्रजापतिः आयुर्वेदं सम्पूर्णम् प्रथमम् प्राप्तवान्।,अस्विनौ प्रजापतः आयुर्वेदं ग्रहीत्।,इन्द्रस्य आयुर्वेदं अस्विनयोः परम् प्राप्तम्।,भरद्राजः ऋषिणां विनतीनुसारं इन्द्रं अतीतः।,
विघ्नभूता यदा रोगाः प्रादुर्भूताः शरीरिणाम्‌ । तपोपवासाध्ययनब्रह्मचर्यब्रतायुषाम्‌ ।। ६।। तदा भूतेष्वनुक्रोशं पुरस्कृत्य महर्षयः । समेताः पुण्यकर्मणः पारे हिमवतः शुभे ।।७।।,"When diseases cropped up creating inpediments in penance, abstinence, study, celibacy, religious observances and life-sSU of living beings, the holy great sages, out of sympathy on creatures, assembled on one of the auspicious sides of the Himalayas. [6-7]",What actions of the sages were prompted by the emergence of diseases that hindered penance and related disciplines?,Which location did the sages choose for their gathering when they responded to the widespread ailments?,Which aspects of spiritual practice were disrupted by the diseases?,What feeling motivated the great sages to come together in response to the suffering caused by disease?,The sages assembled together out of sympathy for all beings.,They convened on an auspicious side of the Himalayas.,"The diseases interfered with penance, abstinence, study, celibacy, religious observances, and the life of living beings.",Their compassion for all creatures drove them to unite.,रोगों के कारण तपस्या और अन्य आध्यात्मिक अभ्यासों में बाधा आने पर महर्षियों ने क्या किया?,महर्षियों ने इस समय कहाँ मिलना चुना?,किन-किन आध्यात्मिक कार्यों में रोगों ने बाधा डाली?,इस सभा में महर्षियों को क्या प्रेरित किया?,उन्होंने सभी जीवों के प्रति करुणा भाव से मिलन किया।,उन्होंने हिमालय के शुभ पक्ष में सभा की।,"रोगों ने तप, उपवास, अध्ययन, ब्रह्मचर्य, धार्मिक अनुष्ठानों और जीवों के जीवन को प्रभावित किया।",सभी जीवों के प्रति उनके सहानुभूति ने उन्हें एकत्रित किया।,रोगैः व्यवधानेन यदा तपः इत्यादीनि क्रियाः बाधिताः तदा महर्षिणः किम् अकरोत्?,तत्र महर्षिणां समागमस्थानम् कतम् आसीत्?,रोगैः कस्याः कस्याः आध्यात्मिक कार्याणि बाधितानि अभवन्?,महर्षिणां समागमनस्य कारणम् किम् आसीत्?,तैः सर्वजनानां प्रति करुणया मिलनं कृतम्।,सः हिमालयस्य शुभपार्श्वे स्थितः।,"तपः, उपवासः, अध्ययनम्, ब्रह्मचर्यं, धार्मिकानुष्ठानानि, जीवजनानां च जीवनम्।",सर्वजैवानां प्रति सहानुभूति:।,
"अङ्गिरा जमदग्निश्च वसिष्ठः कश्यपो भृगुः |
आत्रेयो गौतमः साङ्ख्यः पुलस्त्यो नारदोऽसितः||८||
अगस्त्यो वामदेवश्च मार्कण्डेयाश्वलायनौ |
पारिक्षिर्भिक्षुरात्रेयो भरद्वाजः कपिञ्ज(ष्ठ)लः ||९||
विश्वामित्राश्मरथ्यौ च भार्गवश्च्यवनोऽभिजित् |
गार्ग्यः शाण्डिल्यकौण्डिल्यौ(न्यौ)वार्क्षिर्देवलगालवौ ||१०||
साङ्कृत्यो बैजवापिश्च कुशिको बादरायणः |
बडिशः शरलोमा च काप्यकात्यायनावुभौ ||११||
काङ्कायनः कैकशेयो धौम्यो मारीचकाश्यपौ |
शर्कराक्षो हिरण्याक्षो लोकाक्षः पैङ्गिरेव च ||१२||
शौनकः शाकुनेयश्च मैत्रेयो मैमतायनिः |
वैखानसा वालखिल्यास्तथा चान्ये महर्षयः ||१३||
ब्रह्मज्ञानस्य निधयो द(य)मस्य नियमस्य च |
तपसस्तेजसा दीप्ता हूयमाना इवाग्नयः ||१४||
सुखोपविष्टास्ते तत्र पुण्यां चक्रुः कथामिमाम् |१५|","Among them were Aṅgirā, Jamadagni, Vasiṣṭha, Kaśyapa, Bhṛgu, Ātreya, Gautama, Sāṅkhya, Pulastya, Nārada, Asita, Agastya, Vāmadeva, Mārkaṇḍeya, Aśvalāyana, Pārīkṣi, Bhikṣu Ātreya, Bharadvāja, Kapiñjala, Viśvāmitra, Aśmarathya, Bhārgava, Cyavana, Abhijit, Gārgya, Śāṇḍilya, Kauṇḍinya (Iya), Vārkṣi, Devala, Gālava, Sāṅkṛtya, Baijavāpi, Kuśika, Bādarāyaṇa, Baḍiśa, Śaraloma, Kāśyapa, Kātyāyana, Kāṅkāyana, Kaikaśeya, Dhaumya, Mārīca, Kāśyapa, Śarkarākṣa, Hiraṇyākṣa, Lokākṣa, Paiṅgi, Śaunaka, Śākuneya, Maitreya, Maimatāyani along with the sages of the Vaikhānasa and Vālakhilya orders and other great sages. They all, sources of spiritual knowledge, (self-control) and restraint of mind, illumined with brilliance of penance like fire having oblations took their seats comfortably and held auspicious deliberations. [8–14]",Name three sages listed among the gathered great sages.,What qualities are attributed to the assembled sages?,How did the sages conduct their meeting?,"Which orders of sages, besides the individual names, are mentioned as part of the gathering?","Aṅgirā, Jamadagni, and Vasiṣṭha are among the listed sages.","They are described as sources of spiritual knowledge, practicing self‑control and mental restraint, and illuminated by the brilliance of penance like fire.","They took comfortable seats, offered oblations, and engaged in auspicious deliberations.",The sages of the Vaikhānasa and Vālakhilya orders are also included.,उल्लेखित महान ऋषियों में से तीन का नाम बताइए।,एकत्रित ऋषियों को किन गुणों से वर्णित किया गया है?,ऋषियों ने अपनी सभा कैसे आयोजित की?,व्यक्तिगत नामों के अलावा कौन‑से ऋषि समूहों का उल्लेख है?,"अङ्गिरा, जमदग्नि और वसिष्ठ इनमें शामिल हैं।","उन्हें आध्यात्मिक ज्ञान के स्रोत, आत्म‑नियंत्रण और मन की संयमितता वाले तथा तपस्या की ज्योति से प्रकाशित कहा गया है।",उन्होंने आराम से बैठकर दान‑भोज किए और शुभ चर्चा में लिप्त हुए।,वैखानसा और वालखिल्य क्रम के ऋषि भी इस सभा में सम्मिलित हैं।,उल्लेखित महर्षिणां मध्ये त्रीणि नामानि किम्?,एतेषां महर्षिणां किम् गुणाः वर्णिताः?,एते महर्षयः सभा कथं कुर्वन्ति?,व्यक्तिगत नामानां परे कस्याः समूहस्य उल्लेखः अस्ति?,"अङ्गिरा, जमदग्निः, वसिष्ठः च एतेषु सन्ति।","ते आध्यात्मिकज्ञानस्य स्रोतः, आत्मनियन्त्रणं मनःसंयमं च ध्रियन्ते, तपस्यायाः ज्योतिरेण दीपिताः।","सौकर्येन उपविष्टाः, दानानि कुर्वन्ति, शुभसंवादं कर्तुं प्रवृत्ताः।",वैखानसस्य वाञ्छाल्यस्य च महर्षिणां समूहः उक्तः।,
"धर्मार्थकाममोक्षाणामारोग्यं मूलमुत्तमम् ||१५||
रोगास्तस्यापहर्तारः श्रेयसो जीवितस्य च |
प्रादुर्भूतो मनुष्याणामन्तरायो महानयम् ||१६||
कः स्यात्तेषां शमोपाय इत्युक्त्वा ध्यानमास्थिताः|
अथ ते शरणं शक्रं ददृशुर्ध्यानचक्षुषा ||१७||
स वक्ष्यति शमोपायं यथावदमरप्रभुः ||१८||","Disease-free condition is the best source of virtue, wealth, gratification and emancipation while diseases are destroyers of this (source), welfare and life itself. Now this has appeared as a great obstacle for human beings and what could be the means for their amelioration. Saying this they concentrated on this. Then with their concen vision they saw Indra as saviour. That god of gods is only able to tell the correct means of amelioration (of diseases). [15-17]","What condition is described as the highest source of dharma, wealth, pleasure, and liberation?",In what way do diseases impact the source of welfare and life?,What major hindrance has arisen for humans according to the teaching?,Which deity is said to be able to disclose the proper means of curing diseases?,"A state free from disease is regarded as the supreme foundation for virtue, wealth, desire, and emancipation.",Diseases destroy the source that sustains welfare and life.,Disease has become a great obstacle for humanity.,"Indra, the king of the gods, is identified as the one who can reveal the correct method to alleviate diseases.","कौन सी अवस्था को धर्म, अर्थ, काम और मोक्ष की सर्वोच्च मूल माना गया है?",रोग किस प्रकार से कल्याण और जीवन के स्रोत को नष्ट करते हैं?,मानव जाति के लिए कौन सी बड़ी बाधा उत्पन्न हुई है?,कौन से देवता को रोगों के शमन के सही उपाय बताने वाला कहा गया है?,"रोग‑मुक्त अवस्था को धर्म, अर्थ, काम और मोक्ष की सर्वोच्च मूल माना गया है।","रोग इन स्रोतों को नष्ट कर देते हैं, जिससे कल्याण और जीवन का आधार समाप्त हो जाता है।",रोग एक बड़ा अड़चन बन गया है।,"इन्द्र, देवताओं के राजा को रोग शमन के शमोपाय का सही मार्ग बताने वाला माना गया है।",कस्य स्थितिः धर्मार्थकाममोक्षाणां सर्वोत्तमम् मूलम् इति कथ्यते?,रोगाः स्रोतस्य कल्याणस्य जीवितस्य विनाशं कथम् कुर्वन्ति?,मनुष्यानां कृते कः महत्त्वपूर्णः अतिक्रमः उत्पन्नः?,कोऽयं इन्द्रः रोगशमनस्य शमोपायम् विज्ञापयितुं शक्ष्यते इति कथ्यते?,रोगमुक्तिः धर्मार्थकाममोक्षाणां सर्वोत्तमम् मूलम् इति कथ्यते।,"रोगाः स्रोतं नाशयन्ति, अतः कल्याणं जीवितञ्च विहीनम् भवति।",रोगः महान् अन्तरायः मनुष्यानां कृते उत्पन्नः।,इन्द्रः रोगशमनस्य शमोपायम् विज्ञापयितुं शक्ष्यते।,
"कः सहस्राक्षभवनं गच्छेत् प्रष्टुं शचीपतिम् ||१८||
अहमर्थे नियुज्येयमत्रेति प्रथमं वचः |
भरद्वाजोऽब्रवीत्तस्मादृषिभिः स नियोजितः ||१९||
स शक्रभवनं गत्वा सुरर्षिगणमध्यगम् [३] |
ददर्श बलहन्तारं [४] दीप्यमानमिवानलम् ||२०||
सोऽभिगम्य [५] जयाशीर्भिरभिनन्द्य सुरेश्वरम् |
प्रोवाच विनयाद्धीमानृषीणां [६] वाक्यमुत्तमम् ||२१||
व्याधयो हि समुत्पन्नाः सर्वप्राणिभयङ्कराः |
तद्ब्रूहि मे शमोपायं यथावदमरप्रभो ||२२||
तस्मै प्रोवाच भगवानायुर्वेदं शतक्रतुः |
पदैरल्पैर्मतिं बुद्ध्वा विपुलां परमर्षये ||२३||
","Who should go to the abode of Indra to inquire about this. On this, first spoke Bharadwāja ‘I may be deputed for this work’ and so he was deputed by the sages. Having gone to Indra’s abode, he saw the killer of Bala sitting in the midst of the groups of godly sages and glittering like fire. He approached him with felicitating words of praises and blessings and the intelligent one submitted to him the message of the sages humbly and in the best possible way—“Diseases causing fear in all living beings have appeared, so, O Lord of gods, tell me the proper measures for (their) amelioration”. Then Lord Indra, having observed the wide intelligence of the great sage, delivered to him Āyurveda in a few words. [18–23]",Which sage offered to be deputed for the mission to Indra’s abode?,What was the appearance of the being Bharadwāja encountered in Indra’s realm?,What specific problem did Bharadwāja ask Indra to address concerning all living beings?,How did Indra respond to Bharadwāja’s request?,Bharadwāja volunteered to be deputed for the task.,"He saw the killer of Bala among the groups of sages, glittering like fire.",He asked Indra to reveal the proper measures for ameliorating diseases that cause fear in all living beings.,Indra gave him the knowledge of Ayurveda in a few concise words.,कौन से ऋषि ने इन्द्र के निवास में भेजे जाने की पेशकश की?,इन्द्र के वैभव में ऋषि भारद्वाज ने किस प्राणी को देखा और वह कैसे दिख रहा था?,भारद्वाज ने इन्द्र से सभी जीवों को प्रभावित करने वाली कौन सी समस्या के समाधान की माँग की?,इन्द्र ने भारद्वाज की प्रार्थना पर क्या उपहार दिया?,भारद्वाजा ने इन्द्र के निवास में भेजे जाने की पेशकश की।,"उन्होंने बल का हत्यारा, जो ऋषियों के समूह के बीच स्थित था, अग्नि की तरह चमकता हुआ देखा।",उन्होंने इन्द्र से सभी जीवों में भय उत्पन्न करने वाले रोगों के शमन हेतु उचित उपायों की जानकारी मांगी।,इन्द्र ने उन्हें संक्षिप्त शब्दों में आयुर्वेद का ज्ञान प्रदान किया।,कोऽयं ऋषिः इन्द्रस्य गृहेन निरूपितः भवितुम् अभिरुचिं कृतवान्?,इन्द्रगृहं गत्वा भारद्वाजेन किं दृश्यताम् तथा तस्य रूपम् कथम् आसीत्?,भारद्वाजेन इन्द्राय किम् अपि प्रश्नः अभ्यर्हितः सर्वजिवितानां रोगाणां विषये?,इन्द्रः भारद्वाजस्य प्रश्नस्य प्रतिउत्तरं किम् अदात्?,भारद्वाजः इन्द्रस्य गृहे निरूपितः भवितुं अभिरुचिं कृतवान्।,"सः बलहन्तारम् इन्द्रगृहं गत्वा दृष्टवान्, यः अग्निवत् दीप्यमानः आसीत्।",सः सर्वजिवितानां भयप्रद रोगाणां शमनस्य उचितान् उपायान् इन्द्रात् पृच्छत्।,इन्द्रः तस्मै आयुर्वेदस्य ज्ञानम् अल्पशब्दैः सम्प्रदाय।,
"
हेतुलिङ्गौषधज्ञानं स्वस्थातुरपरायणम् |
त्रिसूत्रं शाश्वतं पुण्यं बुबुधे यं पितामहः ||२४||

","Ayurveda providing knowledge of aetiology, symptomalogy and therapeutics, best way for both the healthy and the sick, SU-aphorismic, continuing for the time immemorial and virtuous which was known by Brahma (creator) first. [24]",What aspects of disease does Ayurveda encompass?,For whom is Ayurveda considered the optimal approach?,How is the foundational text of Ayurveda characterized in terms of form and longevity?,Which primordial figure is said to have first known this system?,"It includes knowledge of causes, symptoms, and treatments.",It is regarded as the best method for both healthy individuals and those who are ill.,It is presented as a concise three‑verse aphorism that has endured eternally.,"It is said that Brahma, the creator, was the first to know it.",आयुर्वेद किस प्रकार के रोग विज्ञान को शामिल करता है?,आयुर्वेद को किसके लिए सर्वोत्तम माना जाता है?,आयुर्वेद की मूल रचना को कैसे वर्णित किया गया है?,इस प्रणाली को पहले किसने जाना था?,"यह रोग के कारण, लक्षण और उपचार के ज्ञान को सम्मिलित करता है।",इसे स्वस्थ व्यक्तियों और रोगियों दोनों के लिये सबसे उपयुक्त माना जाता है।,इसे तीन श्लोकों वाला संक्षिप्त सूत्र माना गया है जो अनन्तकाल तक चलने वाला है।,"इसे प्रथम बार ब्रह्मा, सृष्टिकर्ता ने जाना था।",आयुर्वेदस्य कस्य रोगविज्ञानस्य भागाः सम्मिलिताः?,किनभ्यः व्यक्तिभ्यः आयुर्वेदः उत्तममार्गः इति मन्यते?,आयुर्वेदस्य मूलसूत्रं कथेभ्यः स्वरूपेण वर्ण्यते?,एतस्य विज्ञानस्य प्रथमज्ञानं कस्य अभवत्?,"कारणनिर्णयम्, लक्षणविवरणम्, उपचारविधयश्च।",स्वस्थस्य च रोगीणां च द्वयोः कृते एषः उत्तमः मार्गः इति मान्यते।,"त्रिसूत्रं लघुं शाश्वतं च, सततं प्रवर्तितम् इति वर्ण्यते।",सृष्टिकर्ता ब्रह्मणः प्रथमं एतत् ज्ञातम् इति ज्ञायते।,
"सोऽनन्तपारं त्रिस्कन्धमायुर्वेदं महामतिः |
यथावदचिरात् सर्वं बुबुधे तन्मना मुनिः ||२५||
तेनायुरमितं [७] लेभे भरद्वाजः सुखान्वितम् |
ऋषिभ्योऽनधिकं तच्च [८] शशंसानवशेषयन् ||२६||

","He (Bharadwaja), the intelligent and concentrated sage, acquired the endless and three-pronged Ayurveda properly and entirely in a short time. By this Bharadwaja attained immeasurable happy life-sSU and transmitted that, as it is (neither more nor less) to the sages. [25-26]",Who is described as an intelligent and focused sage who mastered Ayurveda quickly?,What characteristic of the Ayurveda that Bharadwaja obtained is highlighted?,What was the result of Bharadwaja's mastery of Ayurveda for his own life?,To whom did Bharadwaja convey the knowledge of Ayurveda after attaining it?,"Bharadwaja, the intelligent and concentrated sage, mastered Ayurveda in a short time.","The Ayurveda is described as endless and three‑pronged, meaning it is comprehensive and has three fundamental aspects.","By mastering Ayurveda, Bharadwaja achieved an immeasurable, happy, and long life.",He transmitted the exact knowledge of Ayurveda to other sages without alteration.,कौन वह बुद्धिमान और एकाग्र ऋषि है जिसने आयुर्वेद को शीघ्र ही सिद्ध किया?,आयुर्वेद के किस विशेष गुण का उल्लेख किया गया है जो भरद्वाज ने प्राप्त किया?,भरद्वाज ने आयुर्वेद का अधिग्रहण करने से अपने जीवन में क्या प्राप्त किया?,आयुर्वेद के ज्ञान को भरद्वाज ने किन्हें समान रूप में प्रसारित किया?,"भरद्वाज, जो बुद्धिमान और एकाग्र ऋषि थे, ने शीघ्र ही आयुर्वेद को सिद्ध किया।","आयुर्वेद को अनन्त और त्रिस्कन्ध (तीन‑मुखी) बताया गया है, अर्थात् यह व्यापक और तीन मुख्य भागों से युक्त है।",आयुर्वेद को समझने के बाद भरद्वाज ने अपार सुख और अनन्त आयु प्राप्त की।,"उन्होंने वह ज्ञान जैसा था वैसा ही, बिना किसी परिवर्तन के, अन्य ऋषियों को दिया।",कोऽयं बुद्धिमन्तः एकाग्रः मुनिः यस्य आयुर्वेदस्य सिद्धि शीघ्रं अभवतु?,आयुर्वेदस्य कः विशेषः गुणः तत्र उल्लिखितः यः भरद्वाजा प्राप्तः?,आयुर्वेदस्य अधिगमनात् भरद्वाजस्य जीवनं किम् अपाप्तम्?,आयुर्वेदस्य तत्त्वं भरद्वाजः कः कः जनान् प्रति समानरूपेण प्रेषितवान्?,"भरद्वाजः, बुद्धिमान् एकाग्रः च, शीघ्रमेव आयुर्वेदस्य सिद्धिम् अदधु।","आयुर्वेदः अनन्तः त्रिस्कन्धः इति निर्दिश्यते, यः सर्वसम्पूर्णः त्रिविधेन पक्षेण व्यवस्थितः।",आयुर्वेदस्य सिद्ध्याः फलतः भरद्वाजः अपारं सुखं अनन्तं च आयुर्म् अवापत्।,सः आयुर्वेदस्य यथावद् ज्ञानम् अन्यान् ऋषीणः सम्यक् प्रकारेण प्रेषितवान्।,
